Date,Account,Amount,Class
09/05/2020,JMeter,0.6094759768043634,NORMAL
09/05/2020,JMeter,27.35013344952819,NORMAL
09/05/2020,JMeter,51.25690935001095,NORMAL
09/05/2020,JMeter,76.48685714918109,NORMAL
09/05/2020,JMeter,41.35547583274495,NORMAL
09/05/2020,JMeter,39.93679338834336,NORMAL
09/05/2020,JMeter,92.48154744497714,NORMAL
09/05/2020,JMeter,19.720285908355283,NORMAL
09/05/2020,JMeter,30.014991145234195,NORMAL
09/05/2020,JMeter,72.56969836761547,NORMAL
09/05/2020,JMeter,12.214714112916846,NORMAL
09/05/2020,JMeter,81.21425945188693,NORMAL
09/05/2020,JMeter,25.19677127864266,NORMAL
09/05/2020,JMeter,65.38467120192524,NORMAL
09/05/2020,JMeter,15.516509082054618,NORMAL
09/05/2020,JMeter,66.91540767995335,NORMAL
09/05/2020,JMeter,27.41788420689051,NORMAL
09/05/2020,JMeter,82.27861729245991,NORMAL
09/05/2020,JMeter,29.73954404279886,NORMAL
09/05/2020,JMeter,89.75791239457534,NORMAL
09/05/2020,JMeter,92.43101059412821,NORMAL
09/05/2020,JMeter,96.8916468434112,NORMAL
09/05/2020,JMeter,65.66854269107152,NORMAL
09/05/2020,JMeter,75.47525986392112,NORMAL
09/05/2020,JMeter,38.26674144251686,NORMAL
09/05/2020,JMeter,29.06462859160328,NORMAL
09/05/2020,JMeter,95.61867147750274,NORMAL
09/05/2020,JMeter,63.38353175801402,NORMAL
09/05/2020,JMeter,51.48707003796322,NORMAL
09/05/2020,JMeter,79.18729256557188,NORMAL
09/05/2020,JMeter,9.896989985973848,NORMAL
09/05/2020,JMeter,44.912767557712606,NORMAL
09/05/2020,JMeter,91.99400533388994,NORMAL
09/05/2020,JMeter,11.855973983384304,NORMAL
09/05/2020,JMeter,83.441617147104,NORMAL
09/05/2020,JMeter,25.729265432344693,NORMAL
09/05/2020,JMeter,67.7097693895007,NORMAL
09/05/2020,JMeter,47.38897022948937,NORMAL
09/05/2020,JMeter,82.98833728600499,NORMAL
09/05/2020,JMeter,93.48312068285315,NORMAL
09/05/2020,JMeter,0.5428260376021066,NORMAL
09/05/2020,JMeter,30.00137818840375,NORMAL
09/05/2020,JMeter,71.77452857757038,NORMAL
09/05/2020,JMeter,22.531744730020197,NORMAL
09/05/2020,JMeter,33.27651793862104,NORMAL
09/05/2020,JMeter,54.82021836928828,NORMAL
09/05/2020,JMeter,23.5754634849743,NORMAL
09/05/2020,JMeter,49.43142471047577,NORMAL
09/05/2020,JMeter,33.3648727116027,NORMAL
09/05/2020,JMeter,52.42451006068573,NORMAL
09/05/2020,JMeter,40.778176385613406,NORMAL
09/05/2020,JMeter,8.555500362196922,NORMAL
09/05/2020,JMeter,34.09268865172251,NORMAL
09/05/2020,JMeter,49.223928943748064,NORMAL
09/05/2020,JMeter,82.23327148760885,NORMAL
09/05/2020,JMeter,25.889042744250933,NORMAL
09/05/2020,JMeter,16.154714077382813,NORMAL
09/05/2020,JMeter,44.74352121694095,NORMAL
09/05/2020,JMeter,45.78515596153324,NORMAL
09/05/2020,JMeter,30.86637905072679,NORMAL
09/05/2020,JMeter,73.43141129424394,NORMAL
09/05/2020,JMeter,72.76091221464107,NORMAL
09/05/2020,JMeter,17.66638988877932,NORMAL
09/05/2020,JMeter,61.05923159150588,NORMAL
09/05/2020,JMeter,25.586388404029925,NORMAL
09/05/2020,JMeter,42.24630027811776,NORMAL
09/05/2020,JMeter,96.35196436577654,NORMAL
09/05/2020,JMeter,2.589561357635073,NORMAL
09/05/2020,JMeter,37.083331121462635,NORMAL
09/05/2020,JMeter,86.1844902874207,NORMAL
09/05/2020,JMeter,22.00450985439739,NORMAL
09/05/2020,JMeter,30.33272250957415,NORMAL
09/05/2020,JMeter,77.31780284441733,NORMAL
09/05/2020,JMeter,81.61206481867896,NORMAL
09/05/2020,JMeter,94.30153621072095,NORMAL
09/05/2020,JMeter,86.29284576149225,NORMAL
09/05/2020,JMeter,9.78205744565781,NORMAL
09/05/2020,JMeter,42.58174830148479,NORMAL
09/05/2020,JMeter,41.221040254485,NORMAL
09/05/2020,JMeter,61.97384404276474,NORMAL
09/05/2020,JMeter,29.52858603504519,NORMAL
09/05/2020,JMeter,29.269913491570854,NORMAL
09/05/2020,JMeter,9.271897177535282,NORMAL
09/05/2020,JMeter,31.13578689657932,NORMAL
09/05/2020,JMeter,77.67081516376983,NORMAL
09/05/2020,JMeter,61.072048787909814,NORMAL
